nohup: ignoring input
{'R': 54000,
 'alpha': 10.0,
 'batch_size': 256,
 'cq_lambda': 0.0,
 'dataset': 'cifar10',
 'decay_step': 5000,
 'device': '/gpu:0',
 'finetune_all': True,
 'img_db': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/database.txt',
 'img_model': 'alexnet',
 'img_te': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/test.txt',
 'img_tr': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/train.txt',
 'label_dim': 10,
 'learning_rate': 5e-05,
 'learning_rate_decay_factor': 0.5,
 'log_dir': 'tflog',
 'loss_type': 'cross_entropy',
 'max_iter': 2000,
 'model_weights': '../../DeepHash/architecture/pretrained_model/reference_pretrain.npy',
 'output_dim': 32,
 'save_dir': './models/',
 'val_batch_size': 100}
initializing
launching session
loading img model from ../../DeepHash/architecture/pretrained_model/reference_pretrain.npy
['hash_layer', 'fc6', 'fc7', 'conv3', 'conv2', 'conv1', 'conv5', 'conv4']
img model loading finished
Initializing Dataset
Dataset already
2019-05-04 21:15:24.259166 #train# start training
2019-05-04 21:15:38.688765 #train# step    1, loss = inf, cross_entropy loss = inf, 8.0 sec/batch
2019-05-04 21:17:14.623972 #train# step   68, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:16.002792 #train# step   69, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:17.402418 #train# step   70, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:18.778623 #train# step   71, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:20.229349 #train# step   72, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:21.583527 #train# step   73, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:23.017913 #train# step   74, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:24.420305 #train# step   75, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:25.872432 #train# step   76, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:27.213664 #train# step   77, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:28.639794 #train# step   78, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:30.081933 #train# step   79, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:31.535164 #train# step   80, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:32.892146 #train# step   81, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:34.352309 #train# step   82, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:35.814545 #train# step   83, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:37.268783 #train# step   84, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:38.685059 #train# step   85, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:40.132806 #train# step   86, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:41.553565 #train# step   87, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:42.971310 #train# step   88, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:44.401823 #train# step   89, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:45.735651 #train# step   90, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:47.141202 #train# step   91, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:48.580780 #train# step   92, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:50.065466 #train# step   93, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:51.443759 #train# step   94, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:52.832242 #train# step   95, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:54.226746 #train# step   96, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:55.594809 #train# step   97, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:57.031104 #train# step   98, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:58.400393 #train# step   99, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:59.762480 #train# step  100, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:01.155076 #train# step  101, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:02.551712 #train# step  102, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:03.978305 #train# step  103, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:05.425114 #train# step  104, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:06.779099 #train# step  105, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:08.195064 #train# step  106, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:09.651149 #train# step  107, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:11.091559 #train# step  108, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:12.490356 #train# step  109, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:13.919697 #train# step  110, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:15.342661 #train# step  111, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:16.718962 #train# step  112, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:18.088383 #train# step  113, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:19.443253 #train# step  114, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:20.789297 #train# step  115, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:22.152321 #train# step  116, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:23.541921 #train# step  117, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:25.003732 #train# step  118, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:26.425760 #train# step  119, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:27.807947 #train# step  120, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:29.166223 #train# step  121, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:30.548717 #train# step  122, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:32.037733 #train# step  123, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:33.466990 #train# step  124, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:34.804229 #train# step  125, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:36.170680 #train# step  126, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:37.515225 #train# step  127, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:38.870353 #train# step  128, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:40.217307 #train# step  129, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:41.567177 #train# step  130, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:42.912559 #train# step  131, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:44.270288 #train# step  132, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:45.613802 #train# step  133, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:47.002005 #train# step  134, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:48.475552 #train# step  135, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:49.903625 #train# step  136, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:18:51.250305 #train# step  137, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:52.618308 #train# step  138, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:53.960888 #train# step  139, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:55.326387 #train# step  140, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:56.665725 #train# step  141, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:58.039853 #train# step  142, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:18:59.394430 #train# step  143, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:00.765443 #train# step  144, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:02.107306 #train# step  145, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:03.457372 #train# step  146, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:04.807774 #train# step  147, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:06.221537 #train# step  148, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:07.608098 #train# step  149, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:09.037232 #train# step  150, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:10.385218 #train# step  151, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:11.801447 #train# step  152, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:13.197279 #train# step  153, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:14.592551 #train# step  154, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:15.910712 #train# step  155, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:17.332523 #train# step  156, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:18.727499 #train# step  157, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:20.146977 #train# step  158, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:21.469338 #train# step  159, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:22.829271 #train# step  160, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:24.185978 #train# step  161, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:25.565734 #train# step  162, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:26.958003 #train# step  163, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:28.374953 #train# step  164, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:29.803426 #train# step  165, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:31.162671 #train# step  166, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:32.502166 #train# step  167, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:33.867866 #train# step  168, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:35.266881 #train# step  169, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:36.692817 #train# step  170, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:38.129955 #train# step  171, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:19:39.523456 #train# step  172, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:40.870852 #train# step  173, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:42.224609 #train# step  174, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:43.561584 #train# step  175, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:44.948347 #train# step  176, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:46.299619 #train# step  177, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:47.658294 #train# step  178, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:49.003588 #train# step  179, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:50.360463 #train# step  180, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:51.746162 #train# step  181, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:53.145468 #train# step  182, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:54.495748 #train# step  183, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:55.854321 #train# step  184, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:57.173089 #train# step  185, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:58.506001 #train# step  186, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:19:59.871523 #train# step  187, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:01.265242 #train# step  188, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:02.626268 #train# step  189, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:03.986874 #train# step  190, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:05.403114 #train# step  191, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:20:06.762783 #train# step  192, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:08.102255 #train# step  193, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:09.438839 #train# step  194, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:10.785843 #train# step  195, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:12.146118 #train# step  196, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:13.493814 #train# step  197, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:14.851838 #train# step  198, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:16.213903 #train# step  199, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:17.598330 #train# step  200, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:18.944986 #train# step  201, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:20.296382 #train# step  202, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:21.619754 #train# step  203, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:23.015043 #train# step  204, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:24.355054 #train# step  205, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:25.687016 #train# step  206, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:26.989601 #train# step  207, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:28.337578 #train# step  208, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:29.681194 #train# step  209, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:31.020902 #train# step  210, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:32.345540 #train# step  211, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:33.674070 #train# step  212, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:34.993977 #train# step  213, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:36.338940 #train# step  214, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:37.667229 #train# step  215, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:39.021259 #train# step  216, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:40.354335 #train# step  217, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:41.708815 #train# step  218, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:43.068625 #train# step  219, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:44.444519 #train# step  220, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:45.783239 #train# step  221, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:47.123245 #train# step  222, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:48.473850 #train# step  223, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:49.867784 #train# step  224, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:51.217440 #train# step  225, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:52.574686 #train# step  226, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:53.908243 #train# step  227, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:55.261165 #train# step  228, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:56.597049 #train# step  229, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:57.959993 #train# step  230, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:20:59.322084 #train# step  231, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:00.687444 #train# step  232, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:02.027389 #train# step  233, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:03.379328 #train# step  234, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:04.727023 #train# step  235, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:06.120457 #train# step  236, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:07.511935 #train# step  237, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:08.909830 #train# step  238, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:10.262690 #train# step  239, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:11.623618 #train# step  240, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:12.958233 #train# step  241, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:14.366536 #train# step  242, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:21:15.765870 #train# step  243, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:17.169963 #train# step  244, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:21:18.492825 #train# step  245, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:21:19.840833 #train# step  246, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
